driver_id,full_name,phone,license_number,status
1,"Dt. Eko Sihombing, S.Pt",+62 (102) 789 8178,zz7680892,Nonaktif
2,Lembah Salahudin,+62 (0111) 781 4041,Oo1440594,Aktif
3,Wawan Haryanti,+62 (617) 968 8978,Ke2588296,Aktif
4,Luluh Saefullah,+62 (767) 294-5034,My9963896,Aktif
5,Citra Haryanto,(011) 930 6500,hJ9507186,Aktif
6,"Puti Zelaya Hardiansyah, S.E.",(0070) 003-7517,oy4980637,Aktif
7,Ir. Silvia Nashiruddin,(097) 469 5196,eK1254756,Aktif
8,Raharja Halim,+62 (035) 465 0725,TY6824637,Nonaktif
9,Harjaya Marpaung,+62 (505) 118 9479,gi4360508,Nonaktif
10,"Tgk. Galak Hariyah, S.Pt",+62 (075) 488 6541,Sy3618098,Aktif
11,"Hasna Yolanda, S.Kom",+62-70-787-4107,HA3468635,Nonaktif
12,Paramita Nababan,+62 (022) 813-7874,rD4996623,Aktif
13,Perkasa Wastuti,(0191) 630 9718,Es8175635,Aktif
14,"Puti Yessi Pangestu, S.E.I",+62 (0772) 167-8802,KL4957431,Nonaktif
15,Ir. Karen Maheswara,(086) 073-3205,sR7643430,Aktif
16,"H. Tirta Purnawati, S.Pd",+62-081-663-0415,EE0515422,Nonaktif
17,Anastasia Sitorus,080 301 8088,Ot9443811,Aktif
18,Puti Rachel Pradipta,+62-50-639-1555,MX6445933,Aktif
19,"Tgk. Jarwadi Sihotang, M.TI.",+62-0937-344-7624,zg1809321,Aktif
20,Wani Wijaya,+62 (082) 321 3227,Ps8967302,Nonaktif
21,Adiarja Latupono,+62 (40) 960 2897,ow6325549,Aktif
22,"Tgk. Lidya Waskita, S.Psi",+62 (0390) 874-1393,ov6788682,Aktif
23,"drg. Zulfa Uwais, S.Ked",(0660) 970-5387,cI8667873,Nonaktif
24,Ulya Wijaya,+62 (655) 527 9724,wJ6357499,Aktif
25,"Ir. Patricia Siregar, S.I.Kom",+62 (53) 079 6945,TO0064108,Nonaktif
26,Usyi Wasita,+62-072-818-3851,iz0758068,Aktif
27,Kezia Putra,(004) 508 3735,pD4542237,Aktif
28,Fitria Namaga,+62-869-702-5176,YV4886644,Nonaktif
29,Yuliana Prastuti,0831719472,Ln0214203,Nonaktif
30,drg. Paramita Jailani,+62 (015) 826-2886,eJ5079110,Nonaktif
31,Raina Irawan,+62 (80) 816-2459,mM7012625,Nonaktif
32,"Ratna Putra, M.Farm",+62 (031) 184-9851,ey3315453,Aktif
33,Kamila Permadi,+62 (124) 842 4280,ok9246522,Nonaktif
