driver_id;full_name;phone;license_number;status
1;Pranawa Kuswoyo;(0856) 517 9802;qf207121;suspended
2;Dt. Indra Hutapea, S.H.;+62-0265-590-7973;nV364612;inactive
3;R.A. Clara Yuniar;+62-027-862-7022;VN276545;inactive
4;Ihsan Rajasa, S.Psi;+62-828-319-3520;RC126170;inactive
5;Elon Uyainah, M.Kom.;+62-347-981-3138;JR269116;active
6;Mutia Prasetya;+62 (565) 115-9834;lx160162;suspended
7;Usman Tarihoran;+62 (25) 753 7638;BA608337;active
8;T. Gandi Dabukke, S.Kom;+62 (41) 053 7578;Aj289708;suspended
9;Yahya Hakim;+62 (0239) 774-7037;th752397;active
10;Gantar Anggraini, M.Ak, M.Si;+62 (0662) 563-8732;oJ475651;inactive
11;Slamet Pranowo;+62 (548) 063 4863;GC447918;active
12;R.M. Anggabaya Mulyani, S.Ked;+62-0829-050-6708;Ke777158;inactive
13;Agus Usamah;+62 (712) 307 8223;dO036497;active
14;Samiah Mangunsong;+62-008-189-9534;Dr475038;active
15;R. Nrima Hutasoit;+62 (968) 606-1224;DF193653;active
16;Anastasia Simbolon, M.Si;(0967) 059 9291;JP490224;suspended
17;Nadine Widiastuti;+62 (32) 000-1732;JP933665;suspended
18;Pangestu Mahendra, M.Si;+62-00-362-5855;Tq988303;inactive
19;Cut Vivi Sihombing, S.Ked;+62-085-903-4112;xF114113;active
20;Belinda Prayoga;+62-0232-771-8697;Pa796331;suspended
21;Puspa Putra, M.Si;+62 (0986) 256-2312;sZ496275;inactive
22;Gandi Sihombing;+62-98-974-6592;uS961407;suspended
23;Maimunah Wulandari;+62 (14) 916-5813;Um188461;inactive
24;Ir. Jati Prasasta, S.Psi;+62-0977-858-5628;LK578652;active
25;Cagak Wibisono;+62-613-128-2989;Wn403184;active
26;Ir. Emin Prabowo;+62-76-875-3853;kM143294;active
27;Gandewa Hidayanto;+62 (0191) 401 8314;KB549066;active
28;Eva Sitorus, S.T.;+62 (150) 888 0059;eB232046;active
29;H. Galang Kuswoyo;+62 (090) 912-5054;nN867324;active
30;Gasti Winarsih, S.E.I;+62 (59) 222 4370;bo086423;active
31;Danuja Damanik;(0410) 675-7011;Om518739;suspended
32;Tgk. Damar Pranowo;+62-034-505-5625;Aj705249;inactive
33;Carla Prabowo, S.Psi;(0767) 552 4182;wT254712;active
34;Atmaja Suryono;+62 (118) 183 2980;aX448703;suspended
35;Pandu Lailasari;+62-746-919-7698;ZQ766223;active
36;Luhung Hasanah, S.T.;+62 (27) 277-6250;KA210514;suspended
37;Ani Saefullah;+62 (27) 962 5032;ok937448;suspended
38;dr. Iriana Budiyanto, M.Si;+62 (008) 573-6954;yl048707;suspended
39;Gading Mandasari;+62 (99) 257 5635;bb039667;suspended
40;Widya Yuliarti, M.TI.;(0074) 094-0869;YX020970;suspended
41;Fathonah Nababan, S.H., M.Si;+62-90-728-0656;Lf966423;suspended
42;Jayadi Najmudin;+62 (06) 644-1983;Bg232068;suspended
43;Sutan Mahdi Uyainah, S.E.I;+62 (032) 902-2623;AN877645;suspended
44;R. Ega Hariyah, M.Ak;(063) 020-7019;XW612750;suspended
45;Cecep Winarno;+62 (0206) 824-7066;WG260403;inactive
